iso2,inst_id,display_name,year,works_count,country_rank
FI,I130217899,Åbo Akademi University,2023,1134,12
FI,I1285790362,Finnish Meteorological Institute,2023,1108,13
FI,I1294671590,Centre National de la Recherche Scientifique,2023,1064,14
FI,I39624965,Finnish Institute for Health and Welfare,2023,1022,15
NO,I184942183,University of Oslo,2018,7292,1
NO,I204778367,Norwegian University of Science and Technology,2018,5362,2
NO,I4432739,University of Bergen,2018,3845,3
NO,I1281400175,Oslo University Hospital,2018,2871,4
NO,I78037679,UiT The Arctic University of Norway,2018,2196,5
NO,I54108979,Norwegian University of Life Sciences,2018,1161,6
NO,I173888879,SINTEF,2018,1108,7
NO,I2800740805,Haukeland University Hospital,2018,1102,8
NO,I92008406,University of Stavanger,2018,1002,9
NO,I1294671590,Centre National de la Recherche Scientifique,2018,833,10
NO,I184531372,OsloMet – Oslo Metropolitan University,2018,827,11
NO,I124055696,University of Copenhagen,2018,824,12
NO,I1333353642,Norwegian Institute of Public Health,2018,785,13
NO,I200650556,University of Agder,2018,768,14
NO,I2801380234,University of South-Eastern Norway,2018,727,15
NO,I184942183,University of Oslo,2023,9021,1
NO,I204778367,Norwegian University of Science and Technology,2023,7481,2
NO,I4432739,University of Bergen,2023,4961,3
NO,I1281400175,Oslo University Hospital,2023,3503,4
NO,I78037679,UiT The Arctic University of Norway,2023,2900,5
NO,I92008406,University of Stavanger,2023,1695,6
NO,I173888879,SINTEF,2023,1649,7
NO,I2801380234,University of South-Eastern Norway,2023,1386,8
NO,I54108979,Norwegian University of Life Sciences,2023,1380,9
NO,I1294671590,Centre National de la Recherche Scientifique,2023,1363,10
NO,I2800740805,Haukeland University Hospital,2023,1350,11
NO,I184531372,OsloMet – Oslo Metropolitan University,2023,1346,12
NO,I200650556,University of Agder,2023,1262,13
NO,I185261750,University of Toronto,2023,1260,14
NO,I98677209,University of Edinburgh,2023,1216,15
IE,I100930933,University College Dublin,2018,4341,1
IE,I205274468,Trinity College Dublin,2018,3843,2
IE,I27577105,University College Cork,2018,2418,3
IE,I188760350,Ollscoil na Gaillimhe – University of Galway,2018,2158,4
IE,I4210108542,Schlumberger (Ireland),2018,1670,5
IE,I230495080,University of Limerick,2018,1631,6
IE,I42934936,Dublin City University,2018,1378,7
IE,I142762351,Royal College of Surgeons in Ireland,2018,1004,8
IE,I157286207,"National University of Ireland, Maynooth",2018,795,9
IE,I141766778,Teagasc - The Irish Agriculture and Food Development Authority,2018,678,10
IE,I1294671590,Centre National de la Recherche Scientifique,2018,568,11
IE,I4210154619,St. James's Hospital,2018,514,12
IE,I4210115218,St. Vincent's University Hospital,2018,474,13
IE,I47508984,Imperial College London,2018,411,14
IE,I2801846703,Beaumont Hospital,2018,399,15
IE,I100930933,University College Dublin,2023,6023,1
IE,I205274468,Trinity College Dublin,2023,5085,2
IE,I27577105,University College Cork,2023,3329,3
IE,I188760350,Ollscoil na Gaillimhe – University of Galway,2023,2709,4
IE,I230495080,University of Limerick,2023,2140,5
IE,I42934936,Dublin City University,2023,1864,6
IE,I4210108542,Schlumberger (Ireland),2023,1732,7
IE,I142762351,Royal College of Surgeons in Ireland,2023,1505,8
IE,I157286207,"National University of Ireland, Maynooth",2023,1359,9
IE,I4210144925,Technological University Dublin,2023,1007,10
IE,I1294671590,Centre National de la Recherche Scientifique,2023,783,11
IE,I4210154619,St. James's Hospital,2023,778,12
IE,I141766778,Teagasc - The Irish Agriculture and Food Development Authority,2023,731,13
IE,I45129253,University College London,2023,727,14
IE,I47508984,Imperial College London,2023,680,15
AT,I76134821,Medical University of Vienna,2018,5963,1
AT,I129774422,University of Vienna,2018,5091,2
AT,I145847075,TU Wien,2018,3823,3
AT,I190249584,Universität Innsbruck,2018,3025,4
AT,I114090438,Goethe University Frankfurt,2018,1919,5
AT,I4092182,Graz University of Technology,2018,1897,6
AT,I15766117,University of Graz,2018,1748,7
AT,I202276237,Medical University of Graz,2018,1733,8
AT,I143397708,Innsbruck Medical University,2018,1671,9
AT,I121883995,Johannes Kepler University of Linz,2018,1603,10
AT,I92869138,BOKU University,2018,1551,11
AT,I138211613,Austrian Academy of Sciences,2018,1227,12
AT,I1294671590,Centre National de la Recherche Scientifique,2018,1142,13
AT,I182212641,University of Salzburg,2018,1129,14
AT,I27945538,Paracelsus Medical University,2018,844,15
AT,I129774422,University of Vienna,2023,7089,1
AT,I76134821,Medical University of Vienna,2023,5822,2
AT,I190249584,Universität Innsbruck,2023,4363,3
AT,I145847075,TU Wien,2023,4108,4
AT,I4092182,Graz University of Technology,2023,2449,5
AT,I15766117,University of Graz,2023,2434,6
AT,I202276237,Medical University of Graz,2023,2305,7
AT,I121883995,Johannes Kepler University of Linz,2023,2031,8
AT,I143397708,Innsbruck Medical University,2023,1903,9
AT,I92869138,BOKU University,2023,1792,10
AT,I1294671590,Centre National de la Recherche Scientifique,2023,1514,11
AT,I138211613,Austrian Academy of Sciences,2023,1492,12
AT,I182212641,University of Salzburg,2023,1491,13
AT,I8204097,Ludwig-Maximilians-Universität München,2023,1062,14
AT,I27945538,Paracelsus Medical University,2023,1057,15
BE,I99464096,KU Leuven,2018,13172,1
BE,I157674565,University of Liège,2018,8574,2
BE,I32597200,Ghent University,2018,7376,3
BE,I95674353,UCLouvain,2018,4050,4
BE,I149213910,University of Antwerp,2018,3847,5
BE,I132053463,Université Libre de Bruxelles,2018,3701,6
BE,I2801227569,Ghent University Hospital,2018,3156,7
BE,I13469542,Vrije Universiteit Brussel,2018,3056,8
BE,I1294671590,Centre National de la Recherche Scientifique,2018,2107,9
BE,I130929987,University of Mons,2018,1646,10
BE,I878454856,Hasselt University,2018,1191,11
BE,I4210114974,IMEC,2018,1120,12
BE,I154526488,Inserm,2018,1090,13
BE,I1315288073,Cliniques Universitaires Saint-Luc,2018,930,14
BE,I204730241,Université Paris Cité,2018,923,15
BE,I99464096,KU Leuven,2023,13991,1
BE,I32597200,Ghent University,2023,8465,2
BE,I13469542,Vrije Universiteit Brussel,2023,5429,3
BE,I149213910,University of Antwerp,2023,5059,4
BE,I132053463,Université Libre de Bruxelles,2023,4587,5
BE,I157674565,University of Liège,2023,4537,6
BE,I2801227569,Ghent University Hospital,2023,4155,7
BE,I95674353,UCLouvain,2023,3839,8
BE,I1294671590,Centre National de la Recherche Scientifique,2023,2772,9
BE,I2801223450,Institute of Natural Sciences,2023,2303,10
BE,I130929987,University of Mons,2023,2015,11
BE,I33278361,University of Zambia,2023,1830,12
BE,I154526488,Inserm,2023,1718,13
BE,I15057530,Université de Bordeaux,2023,1580,14
BE,I878454856,Hasselt University,2023,1556,15
ES,I71999127,Universitat de Barcelona,2018,7299,1
ES,I123044942,Universitat Autònoma de Barcelona,2018,6165,2
ES,I121748325,Universidad Complutense de Madrid,2018,6065,3
ES,I16097986,Universitat de València,2018,5503,4
ES,I63634437,Universidad Autónoma de Madrid,2018,5090,5
ES,I173304897,Universidad de Granada,2018,4993,6
ES,I79238269,Universidad de Sevilla,2018,4449,7
ES,I169108374,University of the Basque Country,2018,4427,8
ES,I9617848,Universitat Politècnica de Catalunya,2018,3749,9
ES,I60053951,Universitat Politècnica de València,2018,3588,10
ES,I1294671590,Centre National de la Recherche Scientifique,2018,3473,11
ES,I255234318,Universidad de Zaragoza,2018,3394,12
ES,I88060688,Universidad Politécnica de Madrid,2018,3302,13
ES,I200284239,Universidade de Santiago de Compostela,2018,3275,14
ES,I134820265,Consejo Superior de Investigaciones Científicas,2018,2970,15
ES,I71999127,Universitat de Barcelona,2023,10359,1
ES,I121748325,Universidad Complutense de Madrid,2023,8964,2
ES,I63634437,Universidad Autónoma de Madrid,2023,7486,3
ES,I79238269,Universidad de Sevilla,2023,7388,4
ES,I123044942,Universitat Autònoma de Barcelona,2023,7276,5
ES,I173304897,Universidad de Granada,2023,6973,6
ES,I16097986,Universitat de València,2023,6912,7
ES,I134820265,Consejo Superior de Investigaciones Científicas,2023,6290,8
ES,I169108374,University of the Basque Country,2023,5485,9
ES,I2801357902,Instituto de Salud Carlos III,2023,5326,10
ES,I1294671590,Centre National de la Recherche Scientifique,2023,4720,11
ES,I9617848,Universitat Politècnica de Catalunya,2023,4627,12
ES,I255234318,Universidad de Zaragoza,2023,4283,13
ES,I60053951,Universitat Politècnica de València,2023,4232,14
ES,I88060688,Universidad Politécnica de Madrid,2023,4188,15
IT,I861853513,Sapienza University of Rome,2018,9224,1
IT,I138689650,University of Padua,2018,7960,2
IT,I189158943,University of Milan,2018,7871,3
IT,I9360294,University of Bologna,2018,7728,4
IT,I71267560,University of Naples Federico II,2018,5777,5
IT,I4210153126,Istituti di Ricovero e Cura a Carattere Scientifico,2018,5703,6
